"id","team1","team2","season","team1_points_against","team2_points_against","team1_offense_metric","team2_offense_metric","date","score1","score2","prob1","elo1_pre","elo2_pre"
6635,"SAC","DAL",2005,"62.3333333333333333","67.6388888888888889","1.0345637495128871","-1.0442935550004693","7/24/2005",91,51,"0.752",1585,1472
6727,"SAC","DAL",2005,"62.3333333333333333","67.6388888888888889","1.0345637495128871","-1.0442935550004693","7/1/2005",80,63,"0.554",1603,1485
6497,"CHA","DAL",2005,"68.6764705882352941","67.6388888888888889","-5.3618054129345333","-1.0442935550004693","8/23/2005",56,49,"0.358",1308,1489
6566,"CHA","DAL",2005,"68.6764705882352941","67.6388888888888889","-5.3618054129345333","-1.0442935550004693","8/9/2005",64,71,"0.210",1328,1477
6580,"CHA","DAL",2005,"68.6764705882352941","67.6388888888888889","-5.3618054129345333","-1.0442935550004693","8/6/2005",82,73,"0.363",1309,1486
6822,"CHA","DAL",2005,"68.6764705882352941","67.6388888888888889","-5.3618054129345333","-1.0442935550004693","6/10/2005",55,69,"0.268",1418,1512
6594,"HOU","DAL",2005,"66.8461538461538462","67.6388888888888889","0.17254475923206575128","-1.0442935550004693","8/2/2005",62,61,"0.641",1511,1490
6714,"HOU","DAL",2005,"66.8461538461538462","67.6388888888888889","0.17254475923206575128","-1.0442935550004693","7/5/2005",75,66,"0.420",1491,1467
6568,"NYL","DAL",2005,"66.8333333333333333","67.6388888888888889","0.19034396472476968889","-1.0442935550004693","8/7/2005",67,72,"0.506",1551,1467
6805,"NYL","DAL",2005,"66.8333333333333333","67.6388888888888889","0.19034396472476968889","-1.0442935550004693","6/12/2005",72,69,"0.537",1466,1521
6850,"NYL","DAL",2005,"66.8333333333333333","67.6388888888888889","0.19034396472476968889","-1.0442935550004693","6/3/2005",66,68,"0.307",1470,1531
6893,"NYL","DAL",2005,"66.8333333333333333","67.6388888888888889","0.19034396472476968889","-1.0442935550004693","5/22/2005",71,78,"0.569",1479,1511
